size,density,noise_level,start,goal,bellman_ford_path,bellman_ford_cost
10,0.2,0.8,3,9,"[3, 2, 9]",1386.0
10,0.2,0.8,4,5,"[4, 0, 7, 5]",1490.0
10,0.2,0.8,4,6,"[4, 0, 7, 8, 6]",847.0
10,0.2,0.8,4,7,"[4, 0, 7]",578.0
10,0.2,0.8,4,8,"[4, 0, 7, 8]",164.0
10,0.2,0.8,4,9,"[4, 0, 7, 2, 9]",1552.0
10,0.2,0.8,5,6,"[5, 4, 0, 7, 8, 6]",675.0
10,0.2,0.8,5,7,"[5, 4, 0, 7]",406.0
10,0.2,0.8,5,8,"[5, 4, 0, 7, 8]",-8.0
10,0.2,0.8,5,9,"[5, 4, 0, 7, 2, 9]",1380.0
10,0.2,0.8,6,7,"[6, 7]",567.0
10,0.2,0.8,6,8,"[6, 7, 8]",153.0
10,0.2,0.8,6,9,"[6, 7, 2, 9]",1541.0
10,0.2,0.8,7,8,"[7, 8]",-414.0
10,0.2,0.8,7,9,"[7, 2, 9]",974.0
10,0.2,0.8,8,9,"[8, 6, 7, 2, 9]",2224.0
10,0.5,0.0,0,1,"[0, 7, 1]",1019.0
10,0.5,0.0,0,2,"[0, 2]",866.0
10,0.5,0.0,0,3,"[0, 3]",347.0
10,0.5,0.0,0,4,"[0, 4]",646.0
10,0.5,0.0,0,5,"[0, 5]",633.0
10,0.5,0.0,0,6,"[0, 6]",405.0
10,0.5,0.0,0,7,"[0, 7]",392.0
10,0.5,0.0,0,8,"[0, 8]",435.0
10,0.5,0.0,0,9,"[0, 6, 9]",670.0
10,0.5,0.0,1,2,"[1, 5, 2]",820.0
10,0.5,0.0,1,3,"[1, 3]",132.0
10,0.5,0.0,1,4,"[1, 3, 4]",849.0
10,0.5,0.0,1,5,"[1, 5]",539.0
10,0.5,0.0,1,6,"[1, 3, 6]",255.0
10,0.5,0.0,1,7,"[1, 7]",627.0
10,0.5,0.0,1,8,"[1, 0, 8]",707.0
10,0.5,0.0,1,9,"[1, 9]",73.0
10,0.5,0.0,2,3,"[2, 6, 3]",694.0
10,0.5,0.0,2,4,"[2, 4]",526.0
10,0.5,0.0,2,5,"[2, 5]",281.0
10,0.5,0.0,2,6,"[2, 6]",571.0
10,0.5,0.0,2,7,"[2, 6, 7]",1199.0
10,0.5,0.0,2,8,"[2, 8]",1021.0
10,0.5,0.0,2,9,"[2, 9]",810.0
10,0.5,0.0,3,4,"[3, 4]",717.0
10,0.5,0.0,3,5,"[3, 2, 5]",974.0
10,0.5,0.0,3,6,"[3, 6]",123.0
10,0.5,0.0,3,7,"[3, 6, 7]",751.0
10,0.5,0.0,3,8,"[3, 6, 7, 8]",949.0
10,0.5,0.0,3,9,"[3, 6, 9]",388.0
10,0.5,0.0,4,5,"[4, 5]",535.0
10,0.5,0.0,4,6,"[4, 5, 6]",827.0
10,0.5,0.0,4,7,"[4, 0, 7]",1038.0
10,0.5,0.0,4,8,"[4, 8]",576.0
10,0.5,0.0,4,9,"[4, 5, 6, 9]",1092.0
10,0.5,0.0,5,6,"[5, 6]",292.0
10,0.5,0.0,5,7,"[5, 6, 7]",920.0
10,0.5,0.0,5,8,"[5, 0, 8]",1068.0
10,0.5,0.0,5,9,"[5, 6, 9]",557.0
10,0.5,0.0,6,7,"[6, 7]",628.0
10,0.5,0.0,6,8,"[6, 7, 8]",826.0
10,0.5,0.0,6,9,"[6, 9]",265.0
10,0.5,0.0,7,8,"[7, 8]",198.0
10,0.5,0.0,7,9,"[7, 9]",558.0
10,0.5,0.0,8,9,"[8, 6, 9]",1029.0
10,0.5,1.0,0,1,,inf
10,0.5,1.0,0,2,,inf
10,0.5,1.0,0,3,,inf
10,0.5,1.0,0,4,,inf
10,0.5,1.0,0,5,,inf
10,0.5,1.0,0,6,,inf
10,0.5,1.0,0,7,,inf
10,0.5,1.0,0,8,,inf
10,0.5,1.0,0,9,,inf
10,0.5,1.0,1,2,,inf
10,0.5,1.0,1,3,,inf
10,0.5,1.0,1,4,,inf
10,0.5,1.0,1,5,,inf
10,0.5,1.0,1,6,,inf
10,0.5,1.0,1,7,,inf
10,0.5,1.0,1,8,,inf
10,0.5,1.0,1,9,,inf
10,0.5,1.0,2,3,,inf
10,0.5,1.0,2,4,,inf
10,0.5,1.0,2,5,,inf
10,0.5,1.0,2,6,,inf
10,0.5,1.0,2,7,,inf
10,0.5,1.0,2,8,,inf
10,0.5,1.0,2,9,,inf
10,0.5,1.0,3,4,,inf
10,0.5,1.0,3,5,,inf
10,0.5,1.0,3,6,,inf
10,0.5,1.0,3,7,,inf
10,0.5,1.0,3,8,,inf
10,0.5,1.0,3,9,,inf
10,0.5,1.0,4,5,,inf
10,0.5,1.0,4,6,,inf
10,0.5,1.0,4,7,,inf
10,0.5,1.0,4,8,,inf
10,0.5,1.0,4,9,,inf
10,0.5,1.0,5,6,,inf
10,0.5,1.0,5,7,,inf
10,0.5,1.0,5,8,,inf
10,0.5,1.0,5,9,,inf
10,0.5,1.0,6,7,,inf
10,0.5,1.0,6,8,,inf
10,0.5,1.0,6,9,,inf
10,0.5,1.0,7,8,,inf
10,0.5,1.0,7,9,,inf
10,0.5,1.0,8,9,,inf
10,0.5,0.5,0,1,,inf
10,0.5,0.5,0,2,,inf
10,0.5,0.5,0,3,,inf
10,0.5,0.5,0,4,,inf
10,0.5,0.5,0,5,,inf
10,0.5,0.5,0,6,,inf
10,0.5,0.5,0,7,,inf
10,0.5,0.5,0,8,,inf
10,0.5,0.5,0,9,,inf
10,0.5,0.5,1,2,,inf
10,0.5,0.5,1,3,,inf
10,0.5,0.5,1,4,,inf
10,0.5,0.5,1,5,,inf
10,0.5,0.5,1,6,,inf
10,0.5,0.5,1,7,,inf
10,0.5,0.5,1,8,,inf
10,0.5,0.5,1,9,,inf
10,0.5,0.5,2,3,,inf
10,0.5,0.5,2,4,,inf
10,0.5,0.5,2,5,,inf
10,0.5,0.5,2,6,,inf
10,0.5,0.5,2,7,,inf
10,0.5,0.5,2,8,,inf
10,0.5,0.5,2,9,,inf
10,0.5,0.5,3,4,,inf
